,Country Name,Country Code,Indicator Name,Indicator Code,Year,Valor
105,mezcla de la AIF,IDB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
106,Indonesia,IDN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
107,Sólo AIF,IDX,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
108,Isla de Man,IMN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
109,India,IND,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
110,No clasificado,INX,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
111,Irlanda,IRL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
112,"Irán, República Islámica del",IRN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
113,Iraq,IRQ,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
114,Islandia,ISL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
115,Israel,ISR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
116,Italia,ITA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
117,Jamaica,JAM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
118,Jordania,JOR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
119,Japón,JPN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
120,Kazajstán,KAZ,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
121,Kenya,KEN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
122,Kirguistán,KGZ,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
123,Camboya,KHM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
124,Kiribati,KIR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
125,Saint Kitts y Nevis,KNA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
126,"Corea, República de",KOR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
127,Kuwait,KWT,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
128,América Latina y el Caribe (excluido altos ingresos),LAC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
129,República Democrática Popular Lao,LAO,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
130,Líbano,LBN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
131,Liberia,LBR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
132,Libia,LBY,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
133,Santa Lucía,LCA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
134,América Latina y el Caribe,LCN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
135,Países menos desarrollados: clasificación de las Naciones Unidas,LDC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
136,Países de ingreso bajo,LIC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
137,Liechtenstein,LIE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
138,Sri Lanka,LKA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
139,Países de ingreso mediano bajo,LMC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
140,Ingreso mediano y bajo,LMY,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
141,Lesotho,LSO,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
142,avanzada del dividendo demográfico,LTE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
143,Lituania,LTU,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
144,Luxemburgo,LUX,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
145,Letonia,LVA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
146,"Región Administrativa Especial de Macao, China",MAC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
147,Isla de San Martín (parte francesa),MAF,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
148,Marruecos,MAR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
149,Mónaco,MCO,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
150,República de Moldova,MDA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
151,Madagascar,MDG,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
152,Maldivas,MDV,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
153,Oriente Medio y Norte de África,MEA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
154,México,MEX,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
155,Islas Marshall,MHL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
156, Ingreso mediano,MIC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
157,Macedonia del Norte,MKD,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
158,Malí,MLI,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
159,Malta,MLT,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
160,Myanmar,MMR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
161,Oriente Medio y Norte de África (excluido altos ingresos),MNA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
162,Montenegro,MNE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
163,Mongolia,MNG,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
164,Mariana,MNP,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
165,Mozambique,MOZ,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
166,Mauritania,MRT,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
167,Mauricio,MUS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
168,Malawi,MWI,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
169,Malasia,MYS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
170,América del Norte,NAC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
171,Namibia,NAM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
172,Nueva Caledonia,NCL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
173,Níger,NER,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
174,Nigeria,NGA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
175,Nicaragua,NIC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
176,Países Bajos,NLD,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
177,Noruega,NOR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
178,Nepal,NPL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
179,Nauru,NRU,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
180,Nueva Zelandia,NZL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
181,Miembros OCDE,OED,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
182,Omán,OMN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
183,Otros Estados pequeos,OSS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
184,Pakistán,PAK,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
185,Panamá,PAN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
186,Perú,PER,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
187,Filipinas,PHL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
188,Palau,PLW,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
189,Papua Nueva Guinea,PNG,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
190,Polonia,POL,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
191,previa al dividendo demográfico,PRE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
192,Puerto Rico,PRI,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
193,"Corea, República Popular Democrática de",PRK,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
194,Portugal,PRT,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
195,Paraguay,PRY,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
196,Ribera Occidental y Gaza,PSE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
197,Estados pequeos de las Islas del Pacfico,PSS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
198,posterior al dividendo demográfico,PST,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
199,Polinesia Francesa,PYF,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
200,Qatar,QAT,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
201,Rumania,ROU,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
202,Federación de Rusia,RUS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
203,Rwanda,RWA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
204,Asia meridional,SAS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
205,Arabia Saudita,SAU,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
206,Sudán,SDN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
207,Senegal,SEN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
208,Singapur,SGP,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
209,Islas Salomón,SLB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
210,Sierra Leona,SLE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
211,El Salvador,SLV,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
212,San Marino,SMR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
213,Somalia,SOM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
214,Serbia,SRB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
215,África al sur del Sahara (excluido altos ingresos),SSA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
216,Sudán del Sur,SSD,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
217,África al sur del Sahara,SSF,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
218,Pequeños Estados,SST,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
219,Santo Tomé y Príncipe,STP,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
220,Suriname,SUR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
221,República Eslovaca,SVK,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
222,Eslovenia,SVN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
223,Suecia,SWE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
224,Eswatini,SWZ,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
225,Sint Maarten (Dutch part),SXM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
226,Seychelles,SYC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
227,República Árabe Siria,SYR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
228,Islas Turcas y Caicos,TCA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
229,Chad,TCD,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
230,Asia oriental y el Pacífico (BIRF y la AIF),TEA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
231,Europa y Asia central (BIRF y la AIF),TEC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
232,Togo,TGO,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
233,Tailandia,THA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
234,Tayikistán,TJK,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
235,Turkmenistán,TKM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
236,América Latina y el Caribe (BIRF y la AIF),TLA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
237,Timor-Leste,TLS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
238,Oriente Medio y Norte de África (BIRF y la AIF),TMN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
239,Tonga,TON,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
240,Asia meridional (BIRF y la AIF),TSA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
241,África al sur del Sahara (BIRF y la AIF),TSS,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
242,Trinidad y Tobago,TTO,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
243,Túnez,TUN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
244,Turquía,TUR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
245,Tuvalu,TUV,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
246,Tanzanía,TZA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
247,Uganda,UGA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
248,Ucrania,UKR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
249,Ingreso mediano alto,UMC,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
250,Uruguay,URY,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
251,Estados Unidos,USA,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
252,Uzbekistán,UZB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
253,San Vicente y las Granadinas,VCT,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
254,Venezuela,VEN,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
255,Islas Vírgenes Británicas,VGB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
256,Islas Vírgenes (EE.UU.),VIR,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
257,Viet Nam,VNM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
258,Vanuatu,VUT,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
259,Mundo,WLD,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
260,Samoa,WSM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
261,Kosovo,XKX,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
262,"Yemen, Rep. del",YEM,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
263,Sudáfrica,ZAF,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
264,Zambia,ZMB,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
265,Zimbabwe,ZWE,Crecimiento de la población (% anual),SP.POP.GROW,1960,0.0
266,Aruba,ABW,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
267,0.0,AFE,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
268,Afganistán,AFG,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
269,0.0,AFW,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
270,Angola,AGO,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
271,Albania,ALB,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
272,Andorra,AND,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
273,El mundo árabe,ARB,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
274,Emiratos Árabes Unidos,ARE,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
275,Argentina,ARG,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
276,Armenia,ARM,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
277,Samoa Americana,ASM,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
278,Antigua y Barbuda,ATG,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
279,Australia,AUS,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
280,Austria,AUT,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
281,Azerbaiyán,AZE,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
282,Burundi,BDI,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
283,Bélgica,BEL,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
284,Benin,BEN,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
285,Burkina Faso,BFA,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
286,Bangladesh,BGD,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
287,Bulgaria,BGR,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
288,Bahrein,BHR,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
289,Bahamas,BHS,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
290,Bosnia y Herzegovina,BIH,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
291,Belarús,BLR,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
292,Belice,BLZ,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
293,Bermudas,BMU,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
294,Bolivia,BOL,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
295,Brasil,BRA,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
296,Barbados,BRB,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
297,Brunei Darussalam,BRN,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
298,Bhután,BTN,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
299,Botswana,BWA,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
300,República Centroafricana,CAF,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
301,Canadá,CAN,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
302,Europa Central y del Báltico,CEB,Crecimiento del PIB (% anual),NY.GDP.MKTP.KD.ZG,1960,0.0
